record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
1,7,16,1977,2,NL,M,30.61251453890641,
2,7,16,1977,3,NL,M,37.05115956352429,
3,7,16,1977,2,DM,F,37.541612444981645,
4,7,16,1977,7,DM,M,33.96476602721999,
5,7,16,1977,3,DM,M,34.408050229369856,
6,7,16,1977,1,PF,M,11.54973492307014,
7,7,16,1977,2,PE,F,,
8,7,16,1977,1,DM,M,39.582481279493045,
9,7,16,1977,1,DM,F,34.105132209469765,
10,7,16,1977,6,PF,F,18.886406761776872,
11,7,16,1977,5,DS,F,53.74766448431455,
12,7,16,1977,7,DM,M,39.79695425140052,
13,7,16,1977,3,DM,M,36.95310505615118,
14,7,16,1977,8,DM,,,
15,7,16,1977,6,DM,F,36.380519521438615,
16,7,16,1977,4,DM,F,37.44399305880881,
17,7,16,1977,3,DS,F,46.97980096501393,
18,7,16,1977,2,PP,M,24.835830522139567,
19,7,16,1977,4,PF,,,
20,7,17,1977,11,DS,F,48.26576438543225,
21,7,17,1977,14,DM,F,33.63729144674648,
22,7,17,1977,15,NL,F,26.35124593908018,
23,7,17,1977,13,DM,M,33.117523441182634,
24,7,17,1977,13,SH,M,21.539089994940333,
25,7,17,1977,9,DM,M,35.550797846102334,
26,7,17,1977,15,DM,M,29.635757461377597,
27,7,17,1977,15,DM,M,35.42648667019554,
28,7,17,1977,11,DM,M,39.83842213993274,
29,7,17,1977,11,PP,M,,
30,7,17,1977,10,DS,F,53.11697830525548,
31,7,17,1977,15,DM,F,33.72087847086446,
32,7,17,1977,10,DM,F,32.68928020375809,
33,7,17,1977,11,DM,F,34.94465293606657,
34,7,17,1977,17,DM,,,
35,7,17,1977,13,DM,F,37.24847817000758,
36,7,17,1977,16,OT,F,22.04128715222292,
37,7,17,1977,11,DM,F,33.88664483319173,
38,7,17,1977,17,NL,M,34.43582488396972,
39,7,17,1977,11,DM,F,33.00958531886268,
40,7,18,1977,20,DM,M,34.666682311074624,
41,7,18,1977,23,DM,F,34.420524044318874,
42,7,18,1977,18,DS,F,46.59677791495551,
43,7,18,1977,21,DM,M,33.59234210327614,
44,7,18,1977,18,DM,F,36.95566398690054,
45,7,18,1977,22,DM,M,36.23027559462321,
46,7,18,1977,19,DM,M,36.43263981655215,
47,7,18,1977,18,DM,M,31.81469785845765,
48,7,18,1977,20,DM,F,33.04496332534556,
49,7,18,1977,12,PP,F,16.793434415821842,
50,7,18,1977,18,DM,F,34.00601037693761,
51,7,18,1977,21,DM,F,32.83679709301739,
52,7,18,1977,12,DM,F,26.865573517855257,
53,7,18,1977,22,DM,M,34.07208074368443,
54,7,18,1977,18,DM,M,33.892331241784134,
55,7,18,1977,23,DM,M,36.60676889549906,
56,7,18,1977,20,DM,M,35.94269998286386,
57,7,18,1977,22,DM,,,
58,7,18,1977,12,DS,M,45.21033876623803,
59,7,18,1977,19,DM,M,31.67110320639514,
60,7,18,1977,19,PE,M,21.33035273268242,
61,7,18,1977,23,DM,M,32.540487543535995,
62,7,18,1977,19,DM,M,36.23326671729782,
63,8,19,1977,3,DM,M,35.60127559493448,40.0
64,8,19,1977,7,DM,M,39.66007864422985,48.0
65,8,19,1977,4,DM,F,34.808711579988504,29.0
66,8,19,1977,4,DM,F,33.86973603902637,46.0
67,8,19,1977,7,DM,M,36.617840915457734,36.0
68,8,19,1977,8,DO,F,33.392799855085656,52.0
69,8,19,1977,2,PF,M,12.158925305588278,8.0
70,8,19,1977,3,OX,F,21.018034020446418,22.0
71,8,19,1977,7,DM,F,37.17955214010256,35.0
72,8,19,1977,2,NL,M,30.91669583373152,
73,8,19,1977,3,DS,F,43.96564235298783,
74,8,19,1977,8,PF,M,13.775128367761177,7.0
75,8,19,1977,8,DM,F,32.152999963202376,22.0
76,8,19,1977,9,DS,F,47.174007432071036,
77,8,19,1977,4,SS,,,
78,8,19,1977,1,PF,M,16.323020112969356,9.0
